Timestamp | Device_ID | Heart_Rate (BPM) | Status
2026-06-04 10:41:27 | WARD_A_HR_01 | 125 | CRITICAL
2026-06-04 10:41:27 | WARD_A_HR_02 | 77 | NORMAL
2026-06-04 10:41:27 | WARD_A_HR_03 | 93 | WARNING
2026-06-04 10:41:27 | WARD_A_HR_04 | 143 | CRITICAL
2026-06-04 10:41:27 | WARD_A_HR_05 | 104 | CRITICAL
2026-06-04 10:41:28 | WARD_A_HR_01 | 74 | NORMAL
2026-06-04 10:41:28 | WARD_A_HR_02 | 58 | CRITICAL
2026-06-04 10:41:28 | WARD_A_HR_03 | 64 | NORMAL
2026-06-04 10:41:28 | WARD_A_HR_04 | 69 | NORMAL
2026-06-04 10:41:28 | WARD_A_HR_05 | 105 | CRITICAL
2026-06-04 10:41:29 | WARD_A_HR_01 | 84 | NORMAL
2026-06-04 10:41:29 | WARD_A_HR_02 | 75 | NORMAL
2026-06-04 10:41:29 | WARD_A_HR_03 | 146 | CRITICAL
2026-06-04 10:41:29 | WARD_A_HR_04 | 74 | NORMAL
2026-06-04 10:41:29 | WARD_A_HR_05 | 58 | CRITICAL
2026-06-04 10:41:30 | WARD_A_HR_01 | 71 | NORMAL
2026-06-04 10:41:30 | WARD_A_HR_02 | 127 | CRITICAL
2026-06-04 10:41:30 | WARD_A_HR_03 | 59 | CRITICAL
2026-06-04 10:41:30 | WARD_A_HR_04 | 143 | CRITICAL
2026-06-04 10:41:30 | WARD_A_HR_05 | 72 | NORMAL
2026-06-04 10:41:31 | WARD_A_HR_01 | 68 | NORMAL
2026-06-04 10:41:31 | WARD_A_HR_02 | 108 | CRITICAL
2026-06-04 10:41:31 | WARD_A_HR_03 | 112 | CRITICAL
2026-06-04 10:41:31 | WARD_A_HR_04 | 77 | NORMAL
2026-06-04 10:41:31 | WARD_A_HR_05 | 146 | CRITICAL
2026-06-04 10:41:32 | WARD_A_HR_01 | 61 | NORMAL
2026-06-04 10:41:32 | WARD_A_HR_02 | 69 | NORMAL
2026-06-04 10:41:32 | WARD_A_HR_03 | 70 | NORMAL
2026-06-04 10:41:32 | WARD_A_HR_04 | 84 | NORMAL
2026-06-04 10:41:32 | WARD_A_HR_05 | 121 | CRITICAL
2026-06-04 10:41:33 | WARD_A_HR_01 | 94 | WARNING
2026-06-04 10:41:33 | WARD_A_HR_02 | 130 | CRITICAL
2026-06-04 10:41:33 | WARD_A_HR_03 | 71 | NORMAL
2026-06-04 10:41:33 | WARD_A_HR_04 | 148 | CRITICAL
2026-06-04 10:41:33 | WARD_A_HR_05 | 131 | CRITICAL
2026-06-04 10:41:34 | WARD_A_HR_01 | 51 | CRITICAL
2026-06-04 10:41:34 | WARD_A_HR_02 | 101 | CRITICAL
2026-06-04 10:41:34 | WARD_A_HR_03 | 56 | CRITICAL
2026-06-04 10:41:34 | WARD_A_HR_04 | 134 | CRITICAL
2026-06-04 10:41:34 | WARD_A_HR_05 | 61 | NORMAL
2026-06-04 10:41:35 | WARD_A_HR_01 | 119 | CRITICAL
2026-06-04 10:41:35 | WARD_A_HR_02 | 126 | CRITICAL
2026-06-04 10:41:35 | WARD_A_HR_03 | 146 | CRITICAL
2026-06-04 10:41:35 | WARD_A_HR_04 | 92 | WARNING
2026-06-04 10:41:35 | WARD_A_HR_05 | 45 | CRITICAL
2026-06-04 10:41:36 | WARD_A_HR_01 | 64 | NORMAL
2026-06-04 10:41:36 | WARD_A_HR_02 | 137 | CRITICAL
2026-06-04 10:41:36 | WARD_A_HR_03 | 106 | CRITICAL
2026-06-04 10:41:36 | WARD_A_HR_04 | 61 | NORMAL
2026-06-04 10:41:36 | WARD_A_HR_05 | 70 | NORMAL
2026-06-04 10:41:37 | WARD_A_HR_01 | 121 | CRITICAL
2026-06-04 10:41:37 | WARD_A_HR_02 | 133 | CRITICAL
2026-06-04 10:41:37 | WARD_A_HR_03 | 63 | NORMAL
2026-06-04 10:41:37 | WARD_A_HR_04 | 50 | CRITICAL
2026-06-04 10:41:37 | WARD_A_HR_05 | 92 | WARNING
2026-06-04 10:41:38 | WARD_A_HR_01 | 76 | NORMAL
2026-06-04 10:41:38 | WARD_A_HR_02 | 145 | CRITICAL
2026-06-04 10:41:38 | WARD_A_HR_03 | 145 | CRITICAL
2026-06-04 10:41:38 | WARD_A_HR_04 | 148 | CRITICAL
2026-06-04 10:41:38 | WARD_A_HR_05 | 126 | CRITICAL
2026-06-04 10:41:39 | WARD_A_HR_01 | 86 | NORMAL
2026-06-04 10:41:39 | WARD_A_HR_02 | 102 | CRITICAL
2026-06-04 10:41:39 | WARD_A_HR_03 | 53 | CRITICAL
2026-06-04 10:41:39 | WARD_A_HR_04 | 49 | CRITICAL
2026-06-04 10:41:39 | WARD_A_HR_05 | 81 | NORMAL
2026-06-04 10:41:40 | WARD_A_HR_01 | 93 | WARNING
2026-06-04 10:41:40 | WARD_A_HR_02 | 146 | CRITICAL
2026-06-04 10:41:40 | WARD_A_HR_03 | 50 | CRITICAL
2026-06-04 10:41:40 | WARD_A_HR_04 | 138 | CRITICAL
2026-06-04 10:41:40 | WARD_A_HR_05 | 129 | CRITICAL
2026-06-04 10:41:41 | WARD_A_HR_01 | 115 | CRITICAL
2026-06-04 10:41:41 | WARD_A_HR_02 | 81 | NORMAL
2026-06-04 10:41:41 | WARD_A_HR_03 | 45 | CRITICAL
2026-06-04 10:41:41 | WARD_A_HR_04 | 106 | CRITICAL
2026-06-04 10:41:41 | WARD_A_HR_05 | 106 | CRITICAL
2026-06-04 10:41:42 | WARD_A_HR_01 | 68 | NORMAL
2026-06-04 10:41:42 | WARD_A_HR_02 | 92 | WARNING
2026-06-04 10:41:42 | WARD_A_HR_03 | 108 | CRITICAL
2026-06-04 10:41:42 | WARD_A_HR_04 | 123 | CRITICAL
2026-06-04 10:41:42 | WARD_A_HR_05 | 143 | CRITICAL
2026-06-04 10:41:43 | WARD_A_HR_01 | 58 | CRITICAL
2026-06-04 10:41:43 | WARD_A_HR_02 | 68 | NORMAL
2026-06-04 10:41:43 | WARD_A_HR_03 | 111 | CRITICAL
2026-06-04 10:41:43 | WARD_A_HR_04 | 125 | CRITICAL
2026-06-04 10:41:43 | WARD_A_HR_05 | 89 | NORMAL
2026-06-04 10:41:44 | WARD_A_HR_01 | 107 | CRITICAL
2026-06-04 10:41:44 | WARD_A_HR_02 | 88 | NORMAL
2026-06-04 10:41:44 | WARD_A_HR_03 | 114 | CRITICAL
2026-06-04 10:41:44 | WARD_A_HR_04 | 123 | CRITICAL
2026-06-04 10:41:44 | WARD_A_HR_05 | 89 | NORMAL
2026-06-04 10:41:45 | WARD_A_HR_01 | 79 | NORMAL
2026-06-04 10:41:45 | WARD_A_HR_02 | 140 | CRITICAL
2026-06-04 10:41:45 | WARD_A_HR_03 | 53 | CRITICAL
2026-06-04 10:41:45 | WARD_A_HR_04 | 104 | CRITICAL
2026-06-04 10:41:45 | WARD_A_HR_05 | 113 | CRITICAL
2026-06-04 10:41:46 | WARD_A_HR_01 | 100 | WARNING
2026-06-04 10:41:46 | WARD_A_HR_02 | 113 | CRITICAL
2026-06-04 10:41:46 | WARD_A_HR_03 | 130 | CRITICAL
2026-06-04 10:41:46 | WARD_A_HR_04 | 103 | CRITICAL
2026-06-04 10:41:46 | WARD_A_HR_05 | 54 | CRITICAL
2026-06-04 10:41:47 | WARD_A_HR_01 | 82 | NORMAL
2026-06-04 10:41:47 | WARD_A_HR_02 | 127 | CRITICAL
2026-06-04 10:41:47 | WARD_A_HR_03 | 77 | NORMAL
2026-06-04 10:41:47 | WARD_A_HR_04 | 107 | CRITICAL
2026-06-04 10:41:47 | WARD_A_HR_05 | 61 | NORMAL
2026-06-04 10:41:48 | WARD_A_HR_01 | 73 | NORMAL
2026-06-04 10:41:48 | WARD_A_HR_02 | 104 | CRITICAL
2026-06-04 10:41:48 | WARD_A_HR_03 | 132 | CRITICAL
2026-06-04 10:41:48 | WARD_A_HR_04 | 101 | CRITICAL
2026-06-04 10:41:48 | WARD_A_HR_05 | 110 | CRITICAL
2026-06-04 10:41:49 | WARD_A_HR_01 | 133 | CRITICAL
2026-06-04 10:41:49 | WARD_A_HR_02 | 58 | CRITICAL
2026-06-04 10:41:49 | WARD_A_HR_03 | 62 | NORMAL
2026-06-04 10:41:49 | WARD_A_HR_04 | 89 | NORMAL
2026-06-04 10:41:49 | WARD_A_HR_05 | 67 | NORMAL
2026-06-04 10:41:50 | WARD_A_HR_01 | 54 | CRITICAL
2026-06-04 10:41:50 | WARD_A_HR_02 | 112 | CRITICAL
2026-06-04 10:41:50 | WARD_A_HR_03 | 107 | CRITICAL
2026-06-04 10:41:50 | WARD_A_HR_04 | 102 | CRITICAL
2026-06-04 10:41:50 | WARD_A_HR_05 | 132 | CRITICAL
2026-06-04 10:41:51 | WARD_A_HR_01 | 122 | CRITICAL
2026-06-04 10:41:51 | WARD_A_HR_02 | 52 | CRITICAL
2026-06-04 10:41:51 | WARD_A_HR_03 | 68 | NORMAL
2026-06-04 10:41:51 | WARD_A_HR_04 | 128 | CRITICAL
2026-06-04 10:41:51 | WARD_A_HR_05 | 79 | NORMAL
2026-06-04 10:41:52 | WARD_A_HR_01 | 114 | CRITICAL
2026-06-04 10:41:52 | WARD_A_HR_02 | 128 | CRITICAL
2026-06-04 10:41:52 | WARD_A_HR_03 | 58 | CRITICAL
2026-06-04 10:41:52 | WARD_A_HR_04 | 141 | CRITICAL
2026-06-04 10:41:52 | WARD_A_HR_05 | 129 | CRITICAL
2026-06-04 10:41:53 | WARD_A_HR_01 | 143 | CRITICAL
2026-06-04 10:41:53 | WARD_A_HR_02 | 115 | CRITICAL
2026-06-04 10:41:53 | WARD_A_HR_03 | 99 | WARNING
2026-06-04 10:41:53 | WARD_A_HR_04 | 59 | CRITICAL
2026-06-04 10:41:53 | WARD_A_HR_05 | 77 | NORMAL
2026-06-04 10:41:54 | WARD_A_HR_01 | 86 | NORMAL
2026-06-04 10:41:54 | WARD_A_HR_02 | 86 | NORMAL
2026-06-04 10:41:54 | WARD_A_HR_03 | 118 | CRITICAL
2026-06-04 10:41:54 | WARD_A_HR_04 | 48 | CRITICAL
2026-06-04 10:41:54 | WARD_A_HR_05 | 61 | NORMAL
2026-06-04 10:41:55 | WARD_A_HR_01 | 144 | CRITICAL
2026-06-04 10:41:55 | WARD_A_HR_02 | 71 | NORMAL
2026-06-04 10:41:55 | WARD_A_HR_03 | 75 | NORMAL
2026-06-04 10:41:55 | WARD_A_HR_04 | 61 | NORMAL
2026-06-04 10:41:55 | WARD_A_HR_05 | 46 | CRITICAL
2026-06-04 10:41:56 | WARD_A_HR_01 | 64 | NORMAL
2026-06-04 10:41:56 | WARD_A_HR_02 | 102 | CRITICAL
2026-06-04 10:41:56 | WARD_A_HR_03 | 111 | CRITICAL
2026-06-04 10:41:56 | WARD_A_HR_04 | 76 | NORMAL
2026-06-04 10:41:56 | WARD_A_HR_05 | 107 | CRITICAL
2026-06-04 10:41:57 | WARD_A_HR_01 | 73 | NORMAL
2026-06-04 10:41:57 | WARD_A_HR_02 | 147 | CRITICAL
2026-06-04 10:41:57 | WARD_A_HR_03 | 50 | CRITICAL
2026-06-04 10:41:57 | WARD_A_HR_04 | 58 | CRITICAL
2026-06-04 10:41:57 | WARD_A_HR_05 | 65 | NORMAL
2026-06-04 10:41:58 | WARD_A_HR_01 | 111 | CRITICAL
