Timestamp | Device_ID | Usage (Liters/min) | Status
2026-06-04 10:41:27 | FACILITY_WATER_MAIN | 33 | NORMAL
2026-06-04 10:41:27 | ICU_WATER_RESERVE | 9 | NORMAL
2026-06-04 10:41:28 | FACILITY_WATER_MAIN | 37 | HIGH_USAGE
2026-06-04 10:41:28 | ICU_WATER_RESERVE | 35 | NORMAL
2026-06-04 10:41:29 | FACILITY_WATER_MAIN | 30 | NORMAL
2026-06-04 10:41:29 | ICU_WATER_RESERVE | 9 | NORMAL
2026-06-04 10:41:30 | FACILITY_WATER_MAIN | 22 | NORMAL
2026-06-04 10:41:30 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-06-04 10:41:31 | FACILITY_WATER_MAIN | 44 | HIGH_USAGE
2026-06-04 10:41:31 | ICU_WATER_RESERVE | 45 | HIGH_USAGE
2026-06-04 10:41:32 | FACILITY_WATER_MAIN | 18 | NORMAL
2026-06-04 10:41:32 | ICU_WATER_RESERVE | 22 | NORMAL
2026-06-04 10:41:33 | FACILITY_WATER_MAIN | 17 | NORMAL
2026-06-04 10:41:33 | ICU_WATER_RESERVE | 29 | NORMAL
2026-06-04 10:41:34 | FACILITY_WATER_MAIN | 21 | NORMAL
2026-06-04 10:41:34 | ICU_WATER_RESERVE | 29 | NORMAL
2026-06-04 10:41:35 | FACILITY_WATER_MAIN | 22 | NORMAL
2026-06-04 10:41:35 | ICU_WATER_RESERVE | 36 | HIGH_USAGE
2026-06-04 10:41:36 | FACILITY_WATER_MAIN | 42 | HIGH_USAGE
2026-06-04 10:41:36 | ICU_WATER_RESERVE | 8 | NORMAL
2026-06-04 10:41:37 | FACILITY_WATER_MAIN | 43 | HIGH_USAGE
2026-06-04 10:41:37 | ICU_WATER_RESERVE | 29 | NORMAL
2026-06-04 10:41:38 | FACILITY_WATER_MAIN | 12 | NORMAL
2026-06-04 10:41:38 | ICU_WATER_RESERVE | 18 | NORMAL
2026-06-04 10:41:39 | FACILITY_WATER_MAIN | 36 | HIGH_USAGE
2026-06-04 10:41:39 | ICU_WATER_RESERVE | 5 | NORMAL
2026-06-04 10:41:40 | FACILITY_WATER_MAIN | 25 | NORMAL
2026-06-04 10:41:40 | ICU_WATER_RESERVE | 26 | NORMAL
2026-06-04 10:41:41 | FACILITY_WATER_MAIN | 17 | NORMAL
2026-06-04 10:41:41 | ICU_WATER_RESERVE | 43 | HIGH_USAGE
2026-06-04 10:41:42 | FACILITY_WATER_MAIN | 13 | NORMAL
2026-06-04 10:41:42 | ICU_WATER_RESERVE | 38 | HIGH_USAGE
2026-06-04 10:41:43 | FACILITY_WATER_MAIN | 15 | NORMAL
2026-06-04 10:41:43 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-06-04 10:41:44 | FACILITY_WATER_MAIN | 9 | NORMAL
2026-06-04 10:41:44 | ICU_WATER_RESERVE | 32 | NORMAL
2026-06-04 10:41:45 | FACILITY_WATER_MAIN | 13 | NORMAL
2026-06-04 10:41:45 | ICU_WATER_RESERVE | 33 | NORMAL
2026-06-04 10:41:46 | FACILITY_WATER_MAIN | 10 | NORMAL
2026-06-04 10:41:46 | ICU_WATER_RESERVE | 12 | NORMAL
2026-06-04 10:41:47 | FACILITY_WATER_MAIN | 22 | NORMAL
2026-06-04 10:41:47 | ICU_WATER_RESERVE | 32 | NORMAL
2026-06-04 10:41:48 | FACILITY_WATER_MAIN | 19 | NORMAL
2026-06-04 10:41:48 | ICU_WATER_RESERVE | 26 | NORMAL
2026-06-04 10:41:49 | FACILITY_WATER_MAIN | 8 | NORMAL
2026-06-04 10:41:49 | ICU_WATER_RESERVE | 29 | NORMAL
2026-06-04 10:41:50 | FACILITY_WATER_MAIN | 45 | HIGH_USAGE
2026-06-04 10:41:50 | ICU_WATER_RESERVE | 30 | NORMAL
2026-06-04 10:41:51 | FACILITY_WATER_MAIN | 15 | NORMAL
2026-06-04 10:41:51 | ICU_WATER_RESERVE | 45 | HIGH_USAGE
2026-06-04 10:41:52 | FACILITY_WATER_MAIN | 6 | NORMAL
2026-06-04 10:41:52 | ICU_WATER_RESERVE | 10 | NORMAL
2026-06-04 10:41:53 | FACILITY_WATER_MAIN | 36 | HIGH_USAGE
2026-06-04 10:41:53 | ICU_WATER_RESERVE | 8 | NORMAL
2026-06-04 10:41:54 | FACILITY_WATER_MAIN | 19 | NORMAL
2026-06-04 10:41:54 | ICU_WATER_RESERVE | 34 | NORMAL
2026-06-04 10:41:55 | FACILITY_WATER_MAIN | 7 | NORMAL
2026-06-04 10:41:55 | ICU_WATER_RESERVE | 10 | NORMAL
2026-06-04 10:41:56 | FACILITY_WATER_MAIN | 23 | NORMAL
2026-06-04 10:41:56 | ICU_WATER_RESERVE | 15 | NORMAL
2026-06-04 10:41:57 | FACILITY_WATER_MAIN | 10 | NORMAL
2026-06-04 10:41:57 | ICU_WATER_RESERVE | 28 | NORMAL
2026-06-04 10:41:58 | FACILITY_WATER_MAIN | 13 | NORMAL
2026-06-04 10:41:58 | ICU_WATER_RESERVE | 11 | NORMAL
2026-06-04 10:41:59 | FACILITY_WATER_MAIN | 22 | NORMAL
2026-06-04 10:41:59 | ICU_WATER_RESERVE | 44 | HIGH_USAGE
2026-06-04 10:42:00 | FACILITY_WATER_MAIN | 45 | HIGH_USAGE
2026-06-04 10:42:00 | ICU_WATER_RESERVE | 13 | NORMAL
2026-06-04 10:42:01 | FACILITY_WATER_MAIN | 39 | HIGH_USAGE
2026-06-04 10:42:01 | ICU_WATER_RESERVE | 43 | HIGH_USAGE
2026-06-04 10:42:02 | FACILITY_WATER_MAIN | 21 | NORMAL
2026-06-04 10:42:02 | ICU_WATER_RESERVE | 43 | HIGH_USAGE
2026-06-04 10:42:03 | FACILITY_WATER_MAIN | 31 | NORMAL
2026-06-04 10:42:03 | ICU_WATER_RESERVE | 9 | NORMAL
2026-06-04 10:42:04 | FACILITY_WATER_MAIN | 18 | NORMAL
2026-06-04 10:42:04 | ICU_WATER_RESERVE | 6 | NORMAL
2026-06-04 10:42:05 | FACILITY_WATER_MAIN | 35 | NORMAL
2026-06-04 10:42:05 | ICU_WATER_RESERVE | 12 | NORMAL
2026-06-04 10:42:06 | FACILITY_WATER_MAIN | 11 | NORMAL
2026-06-04 10:42:06 | ICU_WATER_RESERVE | 44 | HIGH_USAGE
2026-06-04 10:42:07 | FACILITY_WATER_MAIN | 16 | NORMAL
2026-06-04 10:42:07 | ICU_WATER_RESERVE | 17 | NORMAL
2026-06-04 10:42:08 | FACILITY_WATER_MAIN | 40 | HIGH_USAGE
2026-06-04 10:42:08 | ICU_WATER_RESERVE | 36 | HIGH_USAGE
2026-06-04 10:42:09 | FACILITY_WATER_MAIN | 14 | NORMAL
2026-06-04 10:42:09 | ICU_WATER_RESERVE | 12 | NORMAL
2026-06-04 10:42:10 | FACILITY_WATER_MAIN | 19 | NORMAL
2026-06-04 10:42:10 | ICU_WATER_RESERVE | 41 | HIGH_USAGE
2026-06-04 10:42:11 | FACILITY_WATER_MAIN | 43 | HIGH_USAGE
2026-06-04 10:42:11 | ICU_WATER_RESERVE | 8 | NORMAL
2026-06-04 10:42:12 | FACILITY_WATER_MAIN | 19 | NORMAL
2026-06-04 10:42:12 | ICU_WATER_RESERVE | 21 | NORMAL
2026-06-04 10:46:03 | FACILITY_WATER_MAIN | 29 | NORMAL
2026-06-04 10:46:03 | ICU_WATER_RESERVE | 6 | NORMAL
2026-06-04 10:46:04 | FACILITY_WATER_MAIN | 37 | HIGH_USAGE
2026-06-04 10:46:04 | ICU_WATER_RESERVE | 7 | NORMAL
2026-06-04 10:46:05 | FACILITY_WATER_MAIN | 20 | NORMAL
2026-06-04 10:46:05 | ICU_WATER_RESERVE | 35 | NORMAL
2026-06-04 10:46:06 | FACILITY_WATER_MAIN | 15 | NORMAL
2026-06-04 10:46:06 | ICU_WATER_RESERVE | 30 | NORMAL
2026-06-04 10:46:07 | FACILITY_WATER_MAIN | 36 | HIGH_USAGE
2026-06-04 10:46:07 | ICU_WATER_RESERVE | 44 | HIGH_USAGE
2026-06-04 10:46:08 | FACILITY_WATER_MAIN | 9 | NORMAL
2026-06-04 10:46:08 | ICU_WATER_RESERVE | 33 | NORMAL
2026-06-04 10:46:09 | FACILITY_WATER_MAIN | 9 | NORMAL
2026-06-04 10:46:09 | ICU_WATER_RESERVE | 44 | HIGH_USAGE
2026-06-04 10:46:10 | FACILITY_WATER_MAIN | 18 | NORMAL
2026-06-04 10:46:10 | ICU_WATER_RESERVE | 45 | HIGH_USAGE
2026-06-04 10:46:11 | FACILITY_WATER_MAIN | 7 | NORMAL
2026-06-04 10:46:11 | ICU_WATER_RESERVE | 21 | NORMAL
2026-06-04 10:46:12 | FACILITY_WATER_MAIN | 14 | NORMAL
2026-06-04 10:46:12 | ICU_WATER_RESERVE | 33 | NORMAL
2026-06-04 10:46:13 | FACILITY_WATER_MAIN | 17 | NORMAL
2026-06-04 10:46:13 | ICU_WATER_RESERVE | 10 | NORMAL
2026-06-04 10:46:14 | FACILITY_WATER_MAIN | 44 | HIGH_USAGE
